establecimiento,año,ha_bosque
398308,2005,14.008318903880424
398308,2006,13.125100284328111
398308,2007,8.025862849599802
398308,2008,0.16514141405292587
398308,2009,0.0
398308,2010,0.0
398308,2011,0.0
398308,2012,0.0
398308,2013,0.0
398308,2014,0.0
398308,2015,0.0
398308,2016,0.0
398308,2017,0.0
398308,2018,0.0
398308,2019,0.0
398308,2020,0.0
398308,2021,0.0
398308,2022,0.0
398309,2000,0.0
398309,2001,0.0
398309,2002,0.0
398309,2003,0.0
398309,2004,0.0
398309,2005,0.0
398309,2006,0.0
398309,2007,0.0
398309,2008,0.0
398309,2009,0.0
398309,2010,0.0
398309,2011,0.0
398309,2012,0.0
398309,2013,0.0
398309,2014,0.0
398309,2015,0.0
398309,2016,0.0
398309,2017,0.0
398309,2018,0.0
398309,2019,0.0
398309,2020,0.0
398309,2021,0.0
398309,2022,0.0
398758,2000,0.013806120557598039
398758,2001,0.013806120557598039
398758,2002,0.013806120557598039
398758,2003,0.01914030350030637
398758,2004,0.02039540536917892
398758,2005,0.01914030350030637
398758,2006,0.01914030350030637
398758,2007,0.01914030350030637
398758,2008,0.01914030350030637
398758,2009,0.013806120557598039
398758,2010,0.02447255122166054
398758,2011,0.02447255122166054
398758,2012,0.027610704321767765
398758,2013,0.02039540536917892
398758,2014,0.02039540536917892
398758,2015,0.0341990463436351
398758,2016,0.09694267494351257
398758,2017,0.12392264222388175
398758,2018,0.12517774409275428
398758,2019,0.12298171425015318
398758,2020,0.12298171425015318
398758,2021,0.02039540536917892
398758,2022,0.0981977768123851
398759,2000,0.0
398759,2001,0.0
398759,2002,0.3082481744504442
398759,2003,0.2289125103640089
398759,2004,1.5735269486251535
398759,2005,0.0
398759,2006,0.0
398759,2007,0.0
398759,2008,0.0
398759,2009,0.0
398759,2010,0.0
398759,2011,0.0
398759,2012,0.0
398759,2013,0.0
398759,2014,0.0
398759,2015,0.0
398759,2016,0.0
398759,2017,0.0
398759,2018,0.0
398759,2019,0.0
398759,2020,0.0
398759,2021,0.0
398759,2022,0.0
398760,2000,48.567406209166116
398760,2001,49.09112613266871
398760,2002,48.41238557308405
398760,2003,46.10158507908228
398760,2004,38.44534806240894
398760,2005,34.73661838316668
398760,2006,0.279276980602788
398760,2007,0.279276980602788
398760,2008,0.06715205781824449
398760,2009,0.03828296860638787
398760,2010,0.03828296860638787
398760,2011,0.03828296860638787
398760,2012,0.1104556916360294
398760,2013,0.1104556916360294
398760,2014,0.1104556916360294
398760,2015,0.05083470918543199
398760,2016,0.09413834300321691
398760,2017,0.1104556916360294
398760,2018,0.16536959017884498
398760,2019,0.05083470918543199
398760,2020,0.05083470918543199
398760,2021,0.06715205781824449
398760,2022,0.03828296860638787
398761,2000,0.0
398761,2001,0.0
398761,2002,0.04860326562021293
398761,2003,0.04860326562021293
398761,2004,0.12856366601083793
398761,2005,0.0
398761,2006,0.0
398761,2007,0.0
398761,2008,0.0
398761,2009,0.0
398761,2010,0.0
398761,2011,0.0
398761,2012,0.0
398761,2013,0.0
398761,2014,0.0
398761,2015,0.0
398761,2016,0.0
398761,2017,0.0
398761,2018,0.0
398761,2019,0.0
398761,2020,0.0
398761,2021,0.0
398761,2022,0.0
398763,2000,0.0
398763,2001,0.0
398763,2002,0.05832391874425552
398763,2003,0.05832391874425552
398763,2004,0.1382843191348805
398763,2005,0.0
398763,2006,0.0
398763,2007,0.0
398763,2008,0.0
398763,2009,0.0
398763,2010,0.0
398763,2011,0.0
398763,2012,0.0
398763,2013,0.0
398763,2014,0.0
398763,2015,0.0
398763,2016,0.0
398763,2017,0.0
398763,2018,0.0
398763,2019,0.0
398763,2020,0.0
398763,2021,0.0
398763,2022,0.0
398764,2000,5.774990693574792
398764,2001,5.849378635182099
398764,2002,5.782524760526768
398764,2003,2.3870329453412222
398764,2004,0.08224010600968903
398764,2005,0.0
398764,2006,0.0
398764,2007,0.0
398764,2008,0.0
398764,2009,0.0
398764,2010,0.0
398764,2011,0.0
398764,2012,0.0
398764,2013,0.0
398764,2014,0.0
398764,2015,0.0
398764,2016,0.0
398764,2017,0.0
398764,2018,0.0
398764,2019,0.060263584678500313
398764,2020,0.0
398764,2021,0.1553681654986213
398764,2022,0.0
398765,2000,0.0
398765,2001,0.0
398765,2002,0.0
398765,2003,0.0
398765,2004,0.0
398765,2005,0.0
398765,2006,0.0
398765,2007,0.0
398765,2008,0.0
398765,2009,0.0
398765,2010,0.0
398765,2011,0.0
398765,2012,0.0
398765,2013,0.0
398765,2014,0.0
398765,2015,0.0
398765,2016,0.0
398765,2017,0.0
398765,2018,0.0
398765,2019,0.0
398765,2020,0.0
398765,2021,0.0
398765,2022,0.0
398766,2000,0.7737853606339997
398766,2001,1.0706118179141773
398766,2002,0.6614465841614967
398766,2003,0.640107177734375
398766,2004,0.8801469055175781
398766,2005,0.0
398766,2006,0.0
398766,2007,0.0
398766,2008,0.0
398766,2009,0.0
398766,2010,0.0
398766,2011,0.0
398766,2012,0.0
398766,2013,0.0009414402142693014
398766,2014,0.018201137982536766
398766,2015,0.1408937346095665
398766,2016,0.0
398766,2017,0.0
398766,2018,0.0
398766,2019,0.0
398766,2020,0.0
398766,2021,0.0
398766,2022,0.0
517144,2000,0.0
517144,2001,0.0
517144,2002,0.0
517144,2003,0.0
517144,2004,0.009089139835133271
517144,2005,0.0
517144,2006,0.0
517144,2007,0.024133233355353858
517144,2008,0.024133233355353858
517144,2009,0.009089139835133271
517144,2010,0.024133233355353858
517144,2011,0.024133233355353858
517144,2012,0.09277207253848806
517144,2013,0.09277207253848806
517144,2014,0.2686101835363051
517144,2015,0.0
517144,2016,0.0
517144,2017,0.0
517144,2018,0.0
517144,2019,0.009089139835133271
517144,2020,0.009089139835133271
517144,2021,0.10155124964096965
517144,2022,0.005641891371783088
550901,2000,2.0528127481138942
550901,2001,1.826014435795803
550901,2002,1.8526991822007122
550901,2003,3.448471183483648
550901,2004,3.5944208526731
550901,2005,1.9233023067698758
550901,2006,1.7752132728965613
550901,2007,2.6228284679218365
550901,2008,2.4863489531632963
550901,2009,2.251698716155407
550901,2010,1.7369289949783624
550901,2011,2.3884612557684206
550901,2012,1.9000429462747013
550901,2013,2.154763429960363
550901,2014,2.2746178083831183
550901,2015,3.562074303026387
550901,2016,3.4782536712287455
550901,2017,3.2062895989631204
550901,2018,3.6765715621170347
550901,2019,3.650214888030408
550901,2020,3.870090240574257
550901,2021,4.320597890146292
550901,2022,4.380278855219823
552307,2000,0.3196634399414062
552307,2001,0.0
552307,2002,0.0028207675350413602
552307,2003,0.7048422675637638
552307,2004,1.5146571437701057
552307,2005,1.0389057006835938
552307,2006,1.0389057006835938
552307,2007,1.1858934219898898
552307,2008,1.1059780289234835
552307,2009,0.0
552307,2010,0.0
552307,2011,0.0
552307,2012,0.0
552307,2013,0.0
552307,2014,0.0
552307,2015,0.0
552307,2016,0.0
552307,2017,0.0
552307,2018,0.0
552307,2019,0.0
552307,2020,0.0
552307,2021,0.0
552307,2022,0.0
649115,2000,16.917973411362635
649115,2001,17.07916789378451
649115,2002,17.159764957993495
649115,2003,15.789611283677072
649115,2004,17.082011409122288
649115,2005,17.657569204604254
649115,2006,17.7267875443762
649115,2007,17.404715896259432
649115,2008,19.19775884590903
649115,2009,19.718634348599366
649115,2010,19.41363146175615
649115,2011,19.088399878791417
649115,2012,5.201893047521249
649115,2013,5.376679736758956
649115,2014,4.888350867513017
649115,2015,5.209478201784615
649115,2016,5.0467028764792
649115,2017,5.047966765735098
649115,2018,5.231600856598494
649115,2019,5.623211586459284
649115,2020,5.545461509746471
649115,2021,5.9029418746649
649115,2022,5.584025749056941
704661,2000,4534.959297773374
704661,2001,4533.809872529569
704661,2002,4528.785554662926
704661,2003,4528.18996566776
704661,2004,4537.985238550342
704661,2005,4543.2218974204125
704661,2006,4542.568009311158
704661,2007,4543.652886980378
704661,2008,4538.669171145492
704661,2009,4538.001874331137
704661,2010,4536.343547687592
704661,2011,4542.274780235142
704661,2012,2582.7760854087564
704661,2013,2360.104756448778
704661,2014,2366.444080212179
704661,2015,2456.055729709996
704661,2016,2569.5463197919003
704661,2017,2439.363242654594
704661,2018,2371.265067220351
704661,2019,2279.256890294108
704661,2020,2275.131366643101
704661,2021,2373.4602408701994
704661,2022,2304.717061190827
857467,2000,2483.9306964836214
