establecimiento,año,ha_perdida
885498,2018,0.16015382690429686
885498,2019,0.0
885498,2020,0.0
885498,2021,85.50128367922322
885498,2022,7.653024982838353
885498,2023,1.2403964019655713
890091,2001,0.0
890091,2002,0.0
890091,2003,19.049591131591804
890091,2004,193.15315450563958
890091,2005,22.599141455652582
890091,2006,3.7017892901252267
890091,2007,134.09226816427613
890091,2008,40.63989228632913
890091,2009,0.0
890091,2010,9.680839664258778
890091,2011,2.8813812255859395
890091,2012,2.054715013882506
890091,2013,0.0
890091,2014,0.07784018353630515
890091,2015,0.0
890091,2016,0.0
890091,2017,0.0
890091,2018,0.0
890091,2019,0.0
890091,2020,0.0
890091,2021,0.0
890091,2022,0.0
890091,2023,0.0
918970,2001,6.563971228027341
918970,2002,0.0
918970,2003,6.107237443967331
918970,2004,1.1159869946767769
918970,2005,0.0
918970,2006,0.0
918970,2007,0.056190988913143385
918970,2008,0.0
918970,2009,0.0
918970,2010,0.3983651841825598
918970,2011,0.2401593994140625
918970,2012,4.922613340849038
918970,2013,0.0
918970,2014,0.0
918970,2015,0.0
918970,2016,0.0
918970,2017,0.0
918970,2018,0.0
918970,2019,0.0
918970,2020,0.0
918970,2021,0.0
918970,2022,0.0
918970,2023,3.6925213508635895
923028,2001,0.16083990478515625
923028,2002,0.0
923028,2003,0.3217131408691406
923028,2004,0.40211688232421877
923028,2005,0.0
923028,2006,0.16084537353515624
923028,2007,0.16084591674804688
923028,2008,0.0
923028,2009,0.9652706420898438
923028,2010,0.46205209865196073
923028,2011,0.24915690187940412
923028,2012,0.08041976928710938
923028,2013,1.16116143217199
923028,2014,1.6488700911697687
923028,2015,9.324642027731514
923028,2016,0.4021462097167969
923028,2017,0.8343045283298868
923028,2018,0.32171386108398436
923028,2019,0.884713806152344
923028,2020,8.016977045156446
923028,2021,0.7239248657226561
923028,2022,814.8534349277364
923028,2023,65.15127067136294
926627,2001,0.0
926627,2002,0.0
926627,2003,1.5921353550570618
926627,2004,0.4073362143363205
926627,2005,1.931030285644531
926627,2006,0.010097010043275123
926627,2007,1.1012029690611598
926627,2008,1.7385616636508117
926627,2009,0.0
926627,2010,0.0
926627,2011,0.0
926627,2012,4.511268115377989
926627,2013,16.239699318153548
926627,2014,3.8619855163574224
926627,2015,48.89306007781394
926627,2016,20.65585971863992
926627,2017,3.057577410888671
926627,2018,2.413778717041015
926627,2019,0.0
926627,2020,1.0857536621093749
926627,2021,0.4023175354003906
926627,2022,519.0929132592039
926627,2023,311.335901692733
937514,2001,0.0
937514,2002,0.0
937514,2003,0.0
937514,2004,0.0
937514,2005,0.0
937514,2006,0.0
937514,2007,0.0
937514,2008,3.3437577607756968
937514,2009,0.0
937514,2010,0.0
937514,2011,0.0
937514,2012,0.16029819946289064
937514,2013,0.0
937514,2014,0.0
937514,2015,0.0
937514,2016,0.0
937514,2017,0.0
937514,2018,0.0
937514,2019,46.07091128341397
937514,2020,0.08014124755859375
937514,2021,0.0
937514,2022,0.0
937514,2023,1.5228296630859373
952720,2001,0.0
952720,2002,0.0
952720,2003,134.61345129430347
952720,2004,42.8989411300601
952720,2005,49.14768578215934
952720,2006,3.3091996191406254
952720,2007,0.0
952720,2008,0.0
952720,2009,0.36164421338848035
952720,2010,9.045650177001956
952720,2011,58.996174376914844
952720,2012,0.0
952720,2013,0.0
952720,2014,0.0
952720,2015,0.0
952720,2016,0.0
952720,2017,0.0
952720,2018,0.025427914608226104
952720,2019,0.0
952720,2020,0.0
952720,2021,0.0
952720,2022,0.0
952720,2023,0.0
958542,2001,0.0
958542,2002,0.0
958542,2003,0.049945158763212316
958542,2004,12.176092816162118
958542,2005,0.0
958542,2006,0.0
958542,2007,0.0
958542,2008,0.48073412475585936
958542,2009,14.659335137939498
958542,2010,8.41123591308593
958542,2011,420.23043959429424
958542,2012,16.209884260110286
958542,2013,4.486224114990232
958542,2014,1.2511812274768308
958542,2015,3.6574554561600023
958542,2016,1.8498373160807293
958542,2017,6.599008323759193
958542,2018,0.160202197265625
958542,2019,0.40050808105468755
958542,2020,0.24035623779296877
958542,2021,35.06032975456675
958542,2022,45.522200560925064
958542,2023,19.38124283799115
